ESTU_TIPODOCUMENTO;ESTU_NACIONALIDAD;ESTU_GENERO;ESTU_FECHANACIMIENTO;ESTU_AREARESIDE;ESTU_ESTADOCIVIL;ESTU_VALORMATRICULAUNIVERSIDAD;ESTU_PAGOMATRICULABECA;ESTU_PAGOMATRICULACREDITO;ESTU_PAGOMATRICULAPADRES;ESTU_PAGOMATRICULAPROPIO;ESTU_COMOCAPACITOEXAMENSB11;ESTU_SEMESTRECURSA;FAMI_EDUCACIONPADRE;FAMI_EDUCACIONMADRE;FAMI_OCUPACIONPADRE;FAMI_OCUPACIONMADRE;FAMI_ESTRATOVIVIENDA;FAMI_TIENEINTERNET;FAMI_TIENECOMPUTADOR;FAMI_TRABAJOLABORPADRE;FAMI_TRABAJOLABORMADRE;ESTU_HORASSEMANATRABAJA;INST_NOMBRE_INSTITUCION;ESTU_PRGM_ACADEMICO;ESTU_PRGM_MUNICIPIO;ESTU_PRGM_DEPARTAMENTO;ESTU_NIVEL_PRGM_ACADEMICO;ESTU_METODO_PRGM;INST_ORIGEN;ESTU_DEPTO_PRESENTACION;MOD_RAZONA_CUANTITAT_PUNT;MOD_RAZONA_CUANTITAT_DESEM;MOD_RAZONA_CUANTITATIVO_PNAL;MOD_LECTURA_CRITICA_PUNT;MOD_LECTURA_CRITICA_DESEM;MOD_LECTURA_CRITICA_PNAL;MOD_COMPETEN_CIUDADA_PUNT;MOD_COMPETEN_CIUDADA_DESEM;MOD_COMPETEN_CIUDADA_PNAL;MOD_INGLES_PUNT;MOD_INGLES_DESEM;MOD_INGLES_PNAL;MOD_COMUNI_ESCRITA_PUNT;MOD_COMUNI_ESCRITA_DESEM;MOD_COMUNI_ESCRITA_PNAL;PUNT_GLOBAL;ESTU_NSE_INDIVIDUAL;ESTU_NSE_IES
CC;COLOMBIA;F;5/10/1998;Cabecera Municipal;Soltero;No paga matricula;No;No;Si;No;Repasa por cuenta propia;9;Primaria completa;Primaria incompleta;Otra actividad u ocupaci贸n;Hogar;Estrato 1;Si;Si;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;UNIVERSIDAD DE NARI袿-PASTO;MEDICINA VETERINARIA;PASTO;NARI袿;UNIVERSITARIO;PRESENCIAL;OFICIAL DEPARTAMENTAL;NARI袿;161;3;67;161;3;61;149;2;56;172;B1;70;138;2;47;156;1;2
CC;COLOMBIA;F;21/09/1996;Cabecera Municipal;Soltero;No paga matricula;Si;No;No;No;Repasa por cuenta propia;11;No Aplica;Postgrado;Otra actividad u ocupaci贸n;Pensionado;Estrato 3;No;Si;No aplica;Trabaja como profesional (por ejemplo medico, abogado, ingeniero);M谩s de 30 horas;UNIVERSIDAD DE NARI袿-PASTO;MEDICINA;PASTO;NARI袿;UNIVERSITARIO;PRESENCIAL;OFICIAL DEPARTAMENTAL;VALLE;145;2;50;172;3;73;155;2;63;173;B1;72;0;;1;129;4;2
CC;COLOMBIA;M;2/09/1999;Cabecera Municipal;Soltero;No paga matricula;No;No;Si;No;Repasa por cuenta propia;9;Primaria incompleta;Educaci贸n profesional completa;Empleado obrero u operario;Empleado de nivel tecnico o profesional;Estrato 3;Si;Si;No aplica;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);M谩s de 30 horas;UNIVERSIDAD DE NARI袿-PASTO;INGENIERIA CIVIL;PASTO;NARI袿;UNIVERSITARIO;PRESENCIAL;OFICIAL DEPARTAMENTAL;BOGOT脕;136;2;40;115;1;13;84;1;4;161;A2;57;122;2;24;124;2;2
CC;COLOMBIA;F;2/09/1997;Cabecera Municipal;Soltero;Menos de 500 mil;Si;No;Si;No;No realiza ninguna prueba de preparacion;10;Primaria incompleta;Postgrado;Trabajador por cuenta propia;Empleado de nivel tecnico o profesional;Estrato 1;No;No;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Trabaja como profesional (por ejemplo medico, abogado, ingeniero);Entre 11 y 20 horas;UNIVERSIDAD DE NARI袿-PASTO;SOCIOLOG脥A;SAN ANDRES DE TUMACO;NARI袿;UNIVERSITARIO;PRESENCIAL;OFICIAL DEPARTAMENTAL;NARI袿;147;2;52;127;2;23;110;1;18;132;A2;22;124;2;29;128;2;2
CC;COLOMBIA;F;15/07/2000;Cabecera Municipal;Soltero;Menos de 500 mil;Si;No;No;No;Repasa por cuenta propia;9;Primaria completa;Secundaria (Bachillerato) completa;Otra actividad u ocupaci贸n;Hogar;Estrato 1;Si;Si;Es operario de maquinas o conduce vehiculos (taxita, chofer);Trabaja en el hogar, no trabaja o estudia;Entre 11 y 20 horas;UNIVERSIDAD DE NARI袿-PASTO;INGENIERIA DE SISTEMAS;PASTO;NARI袿;UNIVERSITARIO;PRESENCIAL;OFICIAL DEPARTAMENTAL;NARI袿;151;2;56;190;3;89;196;3;95;171;B1;69;172;3;88;176;2;2
CC;COLOMBIA;F;27/03/2001;Cabecera Municipal;Soltero;No paga matricula;Si;No;No;No;Toma un curso de preparacion;8;Tecnica o tecnologica completa;Tecnica o tecnologica completa;Empleado obrero u operario;Hogar;Estrato 1;No;No;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;UNIVERSIDAD DE NARI袿-PASTO;SOCIOLOG脥A;SAN ANDRES DE TUMACO;NARI袿;UNIVERSITARIO;PRESENCIAL;OFICIAL DEPARTAMENTAL;NARI袿;86;1;3;117;1;15;105;1;14;135;A2;25;150;3;57;119;2;2
CC;COLOMBIA;F;18/04/2000;Area Rural;Soltero;No paga matricula;No;No;Si;No;Repasa por cuenta propia;9;Primaria incompleta;Primaria completa;Trabajador por cuenta propia;Hogar;Estrato 1;Si;Si;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;0;UNIVERSIDAD DE NARI袿-PASTO;INGENIERIA AGROFORESTAL;PASTO;NARI袿;UNIVERSITARIO;PRESENCIAL;OFICIAL DEPARTAMENTAL;NARI袿;156;3;62;179;3;80;108;1;17;124;A2;12;127;2;34;139;1;2
CC;COLOMBIA;M;3/08/1999;;;;;;;;;;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;;;Estrato 2;Si;Si;Es operario de maquinas o conduce vehiculos (taxita, chofer);Trabaja como personal de limpieza, mantenimiento, seguridad o construccipn;Entre 11 y 20 horas;UNIVERSIDAD DE NARI袿-PASTO;ARQUITECTURA;PASTO;NARI袿;UNIVERSITARIO;PRESENCIAL;OFICIAL DEPARTAMENTAL;NARI袿;142;2;47;150;2;48;106;1;15;174;B1;72;106;1;11;136;3;2
CC;COLOMBIA;F;21/02/2000;Cabecera Municipal;Soltero;No paga matricula;Si;No;No;No;Repasa por cuenta propia;8;Tecnica o tecnologica completa;Postgrado;Otra actividad u ocupaci贸n;Empleado de nivel tecnico o profesional;Estrato 2;Si;Si;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Trabaja como profesional (por ejemplo medico, abogado, ingeniero);Entre 11 y 20 horas;UNIVERSIDAD DE NARI袿-PASTO;ARQUITECTURA;PASTO;NARI袿;UNIVERSITARIO;PRESENCIAL;OFICIAL DEPARTAMENTAL;NARI袿;171;3;78;200;4;95;185;3;89;180;B1;77;166;3;80;180;4;2
CC;COLOMBIA;F;3/01/2001;Cabecera Municipal;Soltero;No paga matricula;No;No;Si;No;No realiza ninguna prueba de preparacion;8;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Trabajador por cuenta propia;Hogar;Estrato 1;Si;Si;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;UNIVERSIDAD DE NARI袿-PASTO;INGENIERIA AGRONOMICA;PASTO;NARI袿;UNIVERSITARIO;PRESENCIAL;OFICIAL DEPARTAMENTAL;NARI袿;168;3;75;159;3;59;161;3;69;181;B1;79;116;2;15;157;2;2
CC;COLOMBIA;F;26/04/1998;Cabecera Municipal;Soltero;No paga matricula;No;No;Si;Si;Repasa por cuenta propia;8;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Empleado obrero u operario;Hogar;Estrato 2;No;No;Trabaja como personal de limpieza, mantenimiento, seguridad o construccipn;Trabaja en el hogar, no trabaja o estudia;Entre 11 y 20 horas;UNIVERSIDAD DE NARI袿-PASTO;LICENCIATURA EN FILOSOFIA Y LETRAS;PASTO;NARI袿;UNIVERSITARIO;PRESENCIAL;OFICIAL DEPARTAMENTAL;NARI袿;112;1;17;139;2;36;143;2;51;136;A2;26;117;2;17;129;2;2
CC;COLOMBIA;M;25/02/1996;Cabecera Municipal;Soltero;Menos de 500 mil;Si;No;Si;No;Repasa por cuenta propia;12 o mas;Secundaria (Bachillerato) incompleta;Primaria completa;Trabajador por cuenta propia;Trabajador por cuenta propia;Estrato 1;Si;Si;Es vendedor o trabaja en atencion al publico;Es vendedor o trabaja en atencion al publico;Menos de 10 horas;UNIVERSIDAD DE NARI袿-PASTO;INGENIERIA ELECTRONICA;PASTO;NARI袿;UNIVERSITARIO;PRESENCIAL;OFICIAL DEPARTAMENTAL;BOGOT脕;115;1;20;110;1;10;103;1;14;166;B1;63;115;1;15;122;2;2
CC;COLOMBIA;F;14/03/1998;Cabecera Municipal;Soltero;No paga matricula;No;No;Si;No;No realiza ninguna prueba de preparacion;10;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Peque駉 empresario;Peque駉 empresario;Estrato 2;Si;No;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Trabaja por cuenta propia (por ejemplo plomero, electricista);Menos de 10 horas;UNIVERSIDAD DE NARI袿-PASTO;MEDICINA VETERINARIA;PASTO;NARI袿;UNIVERSITARIO;PRESENCIAL;OFICIAL DEPARTAMENTAL;NARI袿;133;2;37;178;3;80;165;3;73;162;A2;59;156;3;66;159;2;2
CC;COLOMBIA;M;23/06/2000;Cabecera Municipal;Soltero;No paga matricula;No;No;Si;Si;No realiza ninguna prueba de preparacion;8;Tecnica o tecnologica completa;Secundaria (Bachillerato) completa;Empleado de nivel auxiliar o administrativo;Hogar;Estrato 1;No;Si;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);M谩s de 30 horas;UNIVERSIDAD DE NARI袿-PASTO;COMERCIO INTERNACIONAL;IPIALES;NARI袿;UNIVERSITARIO;PRESENCIAL;OFICIAL DEPARTAMENTAL;BOGOT脕;142;2;47;108;1;9;78;1;2;151;A2;45;100;1;10;116;2;2
CC;COLOMBIA;F;17/08/1999;Cabecera Municipal;Soltero;No paga matricula;Si;No;No;No;Repasa por cuenta propia;9;No sabe;Secundaria (Bachillerato) completa;Trabajador por cuenta propia;Trabajador por cuenta propia;Estrato 3;Si;Si;No sabe;Es vendedor o trabaja en atencion al publico;0;UNIVERSIDAD DE NARI袿-PASTO;CONTADUR脥A P脷BLICA;PASTO;NARI袿;UNIVERSITARIO;PRESENCIAL;OFICIAL DEPARTAMENTAL;NARI袿;172;3;78;175;3;77;129;2;36;156;A2;51;125;2;29;151;2;2
CC;COLOMBIA;F;24/07/1995;Area Rural;Soltero;No paga matricula;No;No;Si;No;Repasa por cuenta propia;9;Primaria completa;Primaria completa;Empleado obrero u operario;Hogar;Estrato 2;Si;Si;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;M谩s de 30 horas;UNIVERSIDAD DE NARI袿-PASTO;QUIMICA;PASTO;NARI袿;UNIVERSITARIO;PRESENCIAL;OFICIAL DEPARTAMENTAL;NARI袿;189;3;90;156;2;55;150;2;57;155;A2;50;177;3;93;165;2;2
CC;COLOMBIA;F;23/11/1998;Area Rural;Soltero;No paga matricula;No;No;Si;No;No realiza ninguna prueba de preparacion;9;Ninguno;Primaria completa;Otra actividad u ocupacion;Otra actividad u ocupacion;Estrato 1;No;Si;No aplica;Trabaja como personal de limpieza, mantenimiento, seguridad o construccipn;Menos de 10 horas;UNIVERSIDAD DE NARI袿-PASTO;LICENCIATURA EN CIENCIAS SOCIALES;PASTO;NARI袿;UNIVERSITARIO;PRESENCIAL;OFICIAL DEPARTAMENTAL;NARI袿;146;2;50;194;3;92;194;3;94;137;A2;27;153;3;61;165;2;2
CC;COLOMBIA;F;9/04/1994;Cabecera Municipal;Soltero;Menos de 500 mil;No;Si;Si;No;Repasa por cuenta propia;9;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Trabajador por cuenta propia;Empleado obrero u operario;Estrato 3;Si;Si;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;No aplica;M谩s de 30 horas;UNIVERSIDAD DE NARI袿-PASTO;PSICOLOGIA;PASTO;NARI袿;UNIVERSITARIO;PRESENCIAL;OFICIAL DEPARTAMENTAL;NARI袿;105;1;12;145;2;42;132;2;39;150;A2;44;171;3;87;141;2;2
CC;COLOMBIA;F;20/05/2000;Cabecera Municipal;Casado;No paga matricula;Si;No;No;No;Repasa por cuenta propia;9;Tecnica o tecnologica completa;Educacion profesional completa;Trabajador por cuenta propia;Empleado de nivel tecnico o profesional;Estrato 2;Si;No;Es agricultor, pesquero o jornalero;Trabaja como profesional (por ejemplo medico, abogado, ingeniero);Menos de 10 horas;UNIVERSIDAD DE NARI袿-PASTO;INGENIERIA AGROFORESTAL;SAN ANDRES DE TUMACO;NARI袿;UNIVERSITARIO;PRESENCIAL;OFICIAL DEPARTAMENTAL;BOGOT脕;106;1;12;90;1;2;123;1;29;116;A1;7;135;2;45;114;4;2
CC;COLOMBIA;F;21/04/2000;Cabecera Municipal;Soltero;No paga matricula;Si;No;No;No;Repasa por cuenta propia;10;No sabe;Primaria completa;Trabajador por cuenta propia;Otra actividad u ocupacion;Estrato 2;Si;Si;No sabe;Trabaja por cuenta propia (por ejemplo plomero, electricista);Menos de 10 horas;UNIVERSIDAD DE NARI袿-PASTO;ARQUITECTURA;PASTO;NARI袿;UNIVERSITARIO;PRESENCIAL;OFICIAL DEPARTAMENTAL;NARI袿;165;3;72;181;3;82;152;2;60;191;B1;86;169;3;85;172;2;2
CC;COLOMBIA;M;4/11/1997;Area Rural;Soltero;No paga matricula;Si;No;No;No;No realiza ninguna prueba de preparacion;9;Primaria incompleta;Secundaria (Bachillerato) incompleta;Trabajador por cuenta propia;Hogar;Estrato 1;No;Si;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;M谩s de 30 horas;UNIVERSIDAD DE NARI袿-PASTO;PSICOLOGIA;PASTO;NARI袿;UNIVERSITARIO;PRESENCIAL;OFICIAL DEPARTAMENTAL;NARI袿;147;2;52;189;3;88;155;2;63;151;A2;45;158;3;68;160;2;2
CC;COLOMBIA;F;18/11/1999;Cabecera Municipal;Soltero;No paga matricula;No;No;Si;Si;Repasa por cuenta propia;9;Educacion profesional completa;Tecnica o tecnologica completa;Empleado de nivel t茅cnico o profesional;Pensionado;Estrato 1;Si;Si;Trabaja como profesional (por ejemplo medico, abogado, ingeniero);Trabaja en el hogar, no trabaja o estudia;Entre 11 y 20 horas;UNIVERSIDAD DE NARI袿-PASTO;QUIMICA;PASTO;NARI袿;UNIVERSITARIO;PRESENCIAL;OFICIAL DEPARTAMENTAL;NARI袿;186;3;88;189;3;89;150;2;58;195;B1;88;128;2;36;170;2;2
CC;COLOMBIA;M;25/03/1999;Cabecera Municipal;Soltero;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;9;Primaria completa;Primaria incompleta;Otra actividad u ocupaci贸n;Hogar;Estrato 1;No;Si;Es agricultor, pesquero o jornalero;Es agricultor, pesquero o jornalero;Entre 21 y 30 horas;UNIVERSIDAD DE NARI袿-PASTO;INGENIERIA AGROFORESTAL;PASTO;NARI袿;UNIVERSITARIO;PRESENCIAL;OFICIAL DEPARTAMENTAL;BOGOT脕;155;3;60;163;3;63;109;1;18;140;A2;32;165;3;79;146;2;2
CC;COLOMBIA;F;4/08/2000;Area Rural;Soltero;Menos de 500 mil;No;No;No;Si;Repasa por cuenta propia;8;Primaria completa;Educaci贸n profesional completa;Trabajador por cuenta propia;Hogar;Estrato 2;Si;Si;No sabe;Trabaja en el hogar, no trabaja o estudia;Entre 11 y 20 horas;UNIVERSIDAD DE NARI袿-PASTO;LICENCIATURA EN INFORMATICA;PASTO;NARI袿;UNIVERSITARIO;PRESENCIAL;OFICIAL DEPARTAMENTAL;NARI袿;137;2;41;199;3;95;153;2;61;134;A2;24;155;3;65;156;2;2
CC;COLOMBIA;F;20/10/1996;Cabecera Municipal;Soltero;No paga matricula;Si;No;Si;No;Repasa por cuenta propia;11;Educacion profesional completa;Educacion profesional completa;Trabajador por cuenta propia;Empleado de nivel tecnico o profesional;Estrato 1;Si;Si;Trabaja como profesional (por ejemplo medico, abogado, ingeniero);Trabaja como profesional (por ejemplo medico, abogado, ingeniero);M谩s de 30 horas;UNIVERSIDAD DE NARI袿-PASTO;MEDICINA;PASTO;NARI袿;UNIVERSITARIO;PRESENCIAL;OFICIAL DEPARTAMENTAL;NARI袿;167;3;74;184;3;84;176;3;82;168;B1;66;175;3;92;174;4;2
CC;COLOMBIA;F;18/10/1998;Area Rural;Soltero;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;10;Educacion profesional incompleta;Educacion profesional incompleta;Otra actividad u ocupaci贸n;Hogar;Estrato 1;Si;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja en el hogar, no trabaja o estudia;Entre 11 y 20 horas;UNIVERSIDAD DE NARI袿-PASTO;ECONOM緼;TUQUERRES;NARI袿;UNIVERSITARIO;PRESENCIAL;OFICIAL DEPARTAMENTAL;NARI袿;145;2;49;170;3;71;139;2;46;122;A2;11;162;3;73;148;2;2
CC;COLOMBIA;F;21/07/1994;Cabecera Municipal;Soltero;No paga matricula;Si;No;No;No;Repasa por cuenta propia;11;Tecnica o tecnologica completa;Tecnica o tecnologica completa;Trabajador por cuenta propia;Peque駉 empresario;Estrato 2;Si;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Es vendedor o trabaja en atencion al publico;Entre 11 y 20 horas;UNIVERSIDAD DE NARI袿-PASTO;MEDICINA;PASTO;NARI袿;UNIVERSITARIO;PRESENCIAL;OFICIAL DEPARTAMENTAL;BOGOT脕;156;3;62;188;3;88;195;3;94;192;B1;86;149;2;56;176;3;2
CC;COLOMBIA;F;11/12/1998;Cabecera Municipal;Casado;Menos de 500 mil;No;No;No;Si;Repasa por cuenta propia;9;Tecnica o tecnologica completa;Secundaria (Bachillerato) completa;Empleado obrero u operario;Hogar;Estrato 2;Si;Si;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;UNIVERSIDAD DE NARI袿-PASTO;GEOGRAFIA;PASTO;NARI袿;UNIVERSITARIO;PRESENCIAL;OFICIAL DEPARTAMENTAL;BOGOT脕;136;2;40;143;2;40;159;3;67;142;A2;35;130;2;41;142;2;2
CC;COLOMBIA;F;20/03/1999;Area Rural;Soltero;No paga matricula;No;No;Si;No;Repasa por cuenta propia;9;Educacion profesional completa;Secundaria (Bachillerato) completa;Trabajador por cuenta propia;Hogar;Estrato 2;No;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;UNIVERSIDAD DE NARI袿-PASTO;INGENIERIA CIVIL;PASTO;NARI袿;UNIVERSITARIO;PRESENCIAL;OFICIAL DEPARTAMENTAL;NARI袿;213;4;99;209;4;98;187;3;90;167;B1;64;186;4;97;192;2;2
